sol_index,City,Labels,Rice,Maize,Sorghum,Sugar cane,Sunflower,Soybean,Sesame,Peanuts,vegetables,Cotton,Green folder,Fully grown Onions
Solution 2,Behaira,Production,0,0,1722005.8949530586,0,4358.0,0,0,0,0,0,0,0
Solution 2,Ismailia,Water,0,0,217054434.7789163,0,0,0,13401000.0,0,10710000.0,0,0,0
Solution 2,Ismailia,Area,0,0,75737.70504200729,0,0,0,8320.0,0,5156.0,0,0,0
Solution 2,Ismailia,Production,0,0,254516.89627029127,0,0,0,14530.0,0,114189.0,0,0,0
Solution 2,Giza,Water,0,195931733.33333334,0,0,0,0,0,0,0,0,0,0
Solution 2,Giza,Area,0,91843.0,0,0,0,0,0,0,0,0,0,0
Solution 2,Giza,Production,0,213250.699047619,0,0,0,0,0,0,0,0,0,0
Solution 2,Beni sweif,Water,0,0,0,1664239847.2332063,0,0,0,880000.0,0,0,33950000.0,0
Solution 2,Beni sweif,Area,0,0,0,233546.2453,0,0,0,1132.0,0,0,14607.0,0
Solution 2,Beni sweif,Production,0,0,0,7220322.850877862,0,0,0,1694.0,0,0,134093.0,0
Solution 2,Fayoum,Water,0,0,0,0,8368999.999999999,0,0,0,0,0,1127014646.8076334,0
Solution 2,Fayoum,Area,0,0,0,0,3115.0,0,0,0,0,0,299997.697,0
Solution 2,Fayoum,Production,0,0,0,0,0,0,0,0,0,0,1702860.9312826234,0
Solution 2,Minya,Water,0,494353775.80770963,1741868305.2671878,0,0,0,0,0,0,0,0,0
Solution 2,Minya,Area,0,142398.1903964231,286525.5146455842,0,0,0,0,0,0,0,0,0
Solution 2,Minya,Production,0,349522.1080148102,777201.9980286739,0,0,0,0,0,0,0,0,0
Solution 2,Assuit,Water,0,0,1158642653.3996015,0,4553849.787234042,0,0,0,0,0,0,0
Solution 2,Assuit,Area,0,0,296607.4673084185,0,2491.3438297872335,0,0,0,0,0,0,0
Solution 2,Assuit,Production,0,0,812222.6138803464,0,6238.569999999999,0,0,0,0,0,0,0
Solution 2,Sohag,Water,0,0,654721000.0,848215058.2598497,43000.0,855000.0,77177467.30140182,71908156.5055329,33865478.945675105,3787000.0,159347476.58187473,0
Solution 2,Sohag,Area,0,0,52852.82783317032,94814.66867732554,12.0,179.0,43633.36709112147,42235.21240535818,25665.133662800697,890.0,38625.743557682814,0
Solution 2,Sohag,Production,0,0,0.0,4210977.179122141,0,0,27859.394999999993,67615.72,410036.8858055414,0,322063.00266495673,0
Solution 2,Qena,Water,0,0,0,0,0,0,0,0,84284644.91256362,0,0,0
Solution 2,Qena,Area,0,0,0,0,0,0,0,0,215551.0,0,0,0
Solution 2,Qena,Production,0,0,0,0,0,0,0,0,10930694.08093534,0,0,0
Solution 2,Aswan,Water,0,0,0,0,5252000.0,0,0,0,0,0,0,0
Solution 2,Aswan,Area,0,0,0,0,32505.705042007296,0,0,0,0,0,0,0
Solution 2,Aswan,Production,0,0,0,0,32307.595999335776,0,0,0,0,0,0,0
Solution 2,Luxor,Water,0,241769139.49275362,0,0,0,0,774000.0,34000.0,0,0,0,0
Solution 2,Luxor,Area,0,91190.0,0,0,0,0,489.0,84.0,0,0,0,0
Solution 2,Luxor,Production,0,205631.7980072464,0,0,0,0,247.0,69.0,0,0,0,0
Solution 20,Cairo,Water,0,0,763152.1739130435,0,0,0,0,0,0,0,0,0
Solution 20,Cairo,Area,0,0,595.0,0,0,0,0,0,0,0,0,0
Solution 20,Cairo,Production,0,0,1172.753623188406,0,0,0,0,0,0,0,0,0
Solution 20,Alexandria,Water,0,0,0,258999.99999999997,0,0,3386000.0,0,0,0,0,0
Solution 20,Alexandria,Area,0,0,0,1665.0,0,0,1708.0,0,0,0,0,0
Solution 20,Alexandria,Production,0,0,0,659.0,0,0,1929.0,0,0,0,0,0
Solution 20,Port said,Water,0,0,180312841.43092796,0,0,0,0,0,0,0,0,0
Solution 20,Port said,Area,0,0,52781.94065425933,0,0,0,0,0,0,0,0,0
Solution 20,Port said,Production,0,0,129117.19932816226,0,0,0,0,0,0,0,0,0
Solution 20,Suez,Water,0,0,38658541.35338346,0,0,0,0,0,0,0,0,0
Solution 20,Suez,Area,0,0,12454.0,0,0,0,0,0,0,0,0,0
Solution 20,Suez,Production,0,0,27157.739348370927,0,0,0,0,0,0,0,0,0
Solution 20,Damietta,Water,895981617.7564334,0,0,0,0,0,0,0,0,0,0,0
Solution 20,Damietta,Area,156350.0,0,0,0,0,0,0,0,0,0,0,0
Solution 20,Damietta,Production,539252.8411143458,0,0,0,0,0,0,0,0,0,0,0
Solution 20,Dakahlia,Water,0,0,611230556.6670499,0,0,0,0,0,0,0,0,0
Solution 20,Dakahlia,Area,0,0,456874.94065425935,0,0,0,0,0,0,0,0,0
Solution 20,Dakahlia,Production,0,0,1780994.1469476947,0,0,0,0,0,0,0,0,0
Solution 20,Sharkia,Water,3261623947.4567018,0,0,0,0,3106000.0,0,0,0,0,0,0
Solution 20,Sharkia,Area,625312.4060827468,0,0,0,0,1136.0,0,0,0,0,0,0
Solution 20,Sharkia,Production,2114740.941924404,0,0,0,0,1334.0,0,0,0,0,0,0
Solution 20,Quliubiya,Water,0,0,543633131.2031225,0,0,0,0,0,0,0,0,0
Solution 20,Quliubiya,Area,0,0,179877.15326299384,0,0,0,0,0,0,0,0,0
Solution 20,Quliubiya,Production,0,0,609864.0941133761,0,0,0,0,0,0,0,0,0
Solution 20,Kafr el sheikh,Water,0,0,1244962809.014048,0,0,0,0,0,0,0,0,0
Solution 20,Kafr el sheikh,Area,0,0,393837.94065425935,0,0,0,0,0,0,0,0,0
Solution 20,Kafr el sheikh,Production,0,0,1392488.091390169,0,0,0,0,0,0,0,0,0
Solution 20,Gharbia,Water,0,0,511099053.0612905,0,0,0,0,0,0,0,0,0
Solution 20,Gharbia,Area,0,0,225875.9060827468,0,0,0,0,0,0,0,0,0
Solution 20,Gharbia,Production,0,0,744061.808272578,0,0,0,0,0,0,0,0,0
Solution 20,Monoufia,Water,0,0,0,0,0,51008314.736842066,0,0,0,736885884.4292129,0,0
Solution 20,Monoufia,Area,0,0,0,0,0,15788.28789473683,0,0,0,237027.86536825701,0,0
Solution 20,Monoufia,Production,0,0,0,0,0,46150.37999999996,0,0,0,344946.1815541356,0,0
Solution 20,Behaira,Water,0,0,1533882585.278724,0,7035000.0,0,0,0,0,0,0,0
Solution 20,Behaira,Area,0,0,513208.94065425935,0,3952.0,0,0,0,0,0,0,0
Solution 20,Behaira,Production,0,0,1722005.8949530586,0,4358.0,0,0,0,0,0,0,0
Solution 20,Ismailia,Water,0,0,240898475.15958214,0,0,0,0,0,10710000.0,0,0,0
Solution 20,Ismailia,Area,0,0,84057.70504200729,0,0,0,0,0,5156.0,0,0,0
Solution 20,Ismailia,Production,0,0,282476.29345290095,0,0,0,0,0,114189.0,0,0,0
Solution 20,Giza,Water,0,195931733.33333334,0,0,0,0,0,0,0,0,0,0
Solution 20,Giza,Area,0,91843.0,0,0,0,0,0,0,0,0,0,0
Solution 20,Giza,Production,0,213250.699047619,0,0,0,0,0,0,0,0,0,0
Solution 20,Beni sweif,Water,0,0,0,1776395240.3629773,0,0,0,0,0,0,0,0
Solution 20,Beni sweif,Area,0,0,0,249285.2453,0,0,0,0,0,0,0,0
Solution 20,Beni sweif,Production,0,0,0,7706910.255458015,0,0,0,0,0,0,0,0
Solution 20,Fayoum,Water,0,532630000.0,467861000.0,2270000.0,8368999.999999999,24000.0,11082000.0,122000.0,36694000.0,264718846.37478575,147054000.0,0
Solution 20,Fayoum,Area,0,48293.94687047703,102501.0,237.0,3115.0,6.0,3086.0,35.0,1072.697,63833.64160762244,39144.0,0
Solution 20,Fayoum,Production,0,0.0,0,0,0,0,0,0,0,83143.29844586438,0,0
Solution 20,Minya,Water,0,504139386.7828432,1149699434.110493,0,0,0,0,0,0,0,271844289.586829,0
Solution 20,Minya,Area,0,145216.92742843155,185999.5794144498,0,0,0,0,0,0,0,97707.19819912592,0
Solution 20,Minya,Production,0,356440.81187350577,504524.8585705011,0,0,0,0,0,0,0,1008874.590089218,0
Solution 20,Assuit,Water,0,0,812799000.0,11024000.0,4634560.458265157,7123999.999999999,1959000.0,1680000.0,18503000.0,19037000.0,399918589.2417903,0
Solution 20,Assuit,Area,0,0,165236.57270146086,1081.0,2535.499443535198,1542.0,901.0,791.0,1090.201040739524,4474.0,118034.92785500392,0
Solution 20,Assuit,Production,0,0,0.0,0,6349.140000000025,0,0,0,0,0,2441663.369910782,0
Solution 20,Sohag,Water,0,0,654721000.0,784827332.5992453,43000.0,855000.0,78684192.00155762,90051939.10308677,40602418.21623967,3787000.0,91736999.99999999,0
Solution 20,Sohag,Area,0,0,80848.97391620153,87729.09981339925,12.0,179.0,44485.21510124611,52891.95218404193,30770.75898511117,890.0,22237.0,0
Solution 20,Sohag,Production,0,0,0.0,3896287.8045419883,0,0,28403.290000000005,84676.44,491606.48660152056,0,0,0
Solution 20,Qena,Water,0,0,0,0,0,0,0,0,84815258.37826942,0,0,0
Solution 20,Qena,Area,0,0,0,0,0,0,0,0,216908.0,0,0,0
Solution 20,Qena,Production,0,0,0,0,0,0,0,0,10999508.198558684,0,0,0
Solution 20,Aswan,Water,0,0,0,0,5252000.0,0,0,0,0,0,0,0
Solution 20,Aswan,Area,0,0,0,0,32505.705042007296,0,0,0,0,0,0,0
Solution 20,Aswan,Production,0,0,0,0,32307.595999335776,0,0,0,0,0,0,0
Solution 20,Luxor,Water,0,243065609.60144928,0,0,0,0,0,34000.0,0,0,0,0
Solution 20,Luxor,Area,0,91679.0,0,0,0,0,0,84.0,0,0,0,0
Solution 20,Luxor,Production,0,206734.48414855075,0,0,0,0,0,69.0,0,0,0,0
Solution 21,Cairo,Water,0,0,763152.1739130435,0,0,0,0,0,0,0,0,0
Solution 21,Cairo,Area,0,0,595.0,0,0,0,0,0,0,0,0,0
Solution 21,Cairo,Production,0,0,1172.753623188406,0,0,0,0,0,0,0,0,0
Solution 21,Alexandria,Water,0,0,0,258999.99999999997,0,0,3386000.0,0,0,0,0,0
Solution 21,Alexandria,Area,0,0,0,1665.0,0,0,1708.0,0,0,0,0,0
Solution 21,Alexandria,Production,0,0,0,659.0,0,0,1929.0,0,0,0,0,0
Solution 21,Port said,Water,0,0,180312841.43092796,0,0,0,0,0,0,0,0,0
Solution 21,Port said,Area,0,0,52781.94065425933,0,0,0,0,0,0,0,0,0
Solution 21,Port said,Production,0,0,129117.19932816226,0,0,0,0,0,0,0,0,0
Solution 21,Suez,Water,0,0,38658541.35338346,0,0,0,0,0,0,0,0,0
Solution 21,Suez,Area,0,0,12454.0,0,0,0,0,0,0,0,0,0
Solution 21,Suez,Production,0,0,27157.739348370927,0,0,0,0,0,0,0,0,0
Solution 21,Damietta,Water,895981617.7564334,0,0,0,0,0,0,0,0,0,0,0
Solution 21,Damietta,Area,156350.0,0,0,0,0,0,0,0,0,0,0,0
Solution 21,Damietta,Production,539252.8411143458,0,0,0,0,0,0,0,0,0,0,0
Solution 21,Dakahlia,Water,0,0,532823128.18500835,0,0,21594000.0,0,0,0,118269000.0,0,0
Solution 21,Dakahlia,Area,0,0,398267.94065425935,0,0,6749.0,0,0,0,51858.0,0,0
Solution 21,Dakahlia,Production,0,0,1552531.7939442887,0,0,8307.0,0,0,0,78104.0,0,0
Solution 21,Sharkia,Water,3090667231.0218754,0,0,0,0,3106000.0,0,0,0,0,72215000.0,0
Solution 21,Sharkia,Area,592536.9060827468,0,0,0,0,1136.0,0,0,0,0,32773.0,0
Solution 21,Sharkia,Production,2003897.6401318733,0,0,0,0,1334.0,0,0,0,0,667529.0,0
Solution 21,Quliubiya,Water,0,0,543633131.2031225,0,0,0,0,0,0,0,0,0
Solution 21,Quliubiya,Area,0,0,179877.15326299384,0,0,0,0,0,0,0,0,0
Solution 21,Quliubiya,Production,0,0,609864.0941133761,0,0,0,0,0,0,0,0,0
Solution 21,Kafr el sheikh,Water,0,0,1244659343.000929,752000.0,0,0,0,0,0,0,0,0
Solution 21,Kafr el sheikh,Area,0,0,393741.94065425935,96.0,0,0,0,0,0,0,0,0
Solution 21,Kafr el sheikh,Production,0,0,1392148.665339567,3959.0,0,0,0,0,0,0,0,0
Solution 21,Gharbia,Water,0,0,511099053.0612905,0,0,0,0,0,0,0,0,0
Solution 21,Gharbia,Area,0,0,225875.9060827468,0,0,0,0,0,0,0,0,0
Solution 21,Gharbia,Production,0,0,744061.808272578,0,0,0,0,0,0,0,0,0
Solution 21,Monoufia,Water,0,0,0,0,0,41826893.684210554,0,0,0,745720848.7133712,0,0
Solution 21,Monoufia,Area,0,0,0,0,0,12946.419473684218,0,0,0,239869.73378930963,0,0
Solution 21,Monoufia,Production,0,0,0,0,0,37843.38000000002,0,0,0,349081.94702119724,0,0
Solution 21,Behaira,Water,0,0,1533882585.278724,0,7035000.0,0,0,0,0,0,0,0
Solution 21,Behaira,Area,0,0,513208.94065425935,0,3952.0,0,0,0,0,0,0,0
Solution 21,Behaira,Production,0,0,1722005.8949530586,0,4358.0,0,0,0,0,0,0,0
Solution 21,Ismailia,Water,0,0,240898475.15958214,0,0,0,0,0,10710000.0,0,0,0
Solution 21,Ismailia,Area,0,0,84057.70504200729,0,0,0,0,0,5156.0,0,0,0
Solution 21,Ismailia,Production,0,0,282476.29345290095,0,0,0,0,0,114189.0,0,0,0
Solution 21,Giza,Water,0,195931733.33333334,0,0,0,0,0,0,0,0,0,0
Solution 21,Giza,Area,0,91843.0,0,0,0,0,0,0,0,0,0,0
Solution 21,Giza,Production,0,213250.699047619,0,0,0,0,0,0,0,0,0,0
Solution 21,Beni sweif,Water,0,0,0,1768328660.2103055,0,0,0,880000.0,0,0,0,0
Solution 21,Beni sweif,Area,0,0,0,248153.2453,0,0,0,1132.0,0,0,0,0
Solution 21,Beni sweif,Production,0,0,0,7671913.308893129,0,0,0,1694.0,0,0,0,0
Solution 21,Fayoum,Water,0,532630000.0,467861000.0,2270000.0,8368999.999999999,24000.0,11082000.0,122000.0,36694000.0,67024000.00000001,147054000.0,0
Solution 21,Fayoum,Area,0,96274.33823750998,102501.0,237.0,3115.0,6.0,3086.0,35.0,1072.697,16162.0,39144.0,0
Solution 21,Fayoum,Production,0,0.0,0,0,0,0,0,0,0,21051.0,0,0
Solution 21,Minya,Water,0,505698993.5859173,1675564464.7636693,0,0,0,0,0,0,0,35910949.74470882,0
Solution 21,Minya,Area,0,145666.17085966628,270350.29861172073,0,0,0,0,0,0,0,12907.235570620265,0
Solution 21,Minya,Production,0,357543.49801481026,733326.637624508,0,0,0,0,0,0,0,133273.5175657814,0
