water,area,prod,city,name,visited,rank,season,region_name
0,0,0.0,Suez,chickpeas,0,22,,
33000.0,160.0,133.0,Ismailia,Lupine,1,1,,
29000.0,30.0,18.0,Sharkia,Lupine,1,2,,
58000.0,38.0,29.0,Sohag,Lupine,1,3,,
22000.0,14.0,13.0,Assuit,Lupine,1,4,,
5000.0,3.0,3.0,Qena,Lupine,1,5,,
0,0,0.0,Alexandria,Lupine,0,6,,
0,0,0.0,Aswan,Lupine,0,7,,
0,0,0.0,Behaira,Lupine,0,8,,
0,0,0.0,Beni sweif,Lupine,0,9,,
0,0,0.0,Cairo,Lupine,0,10,,
0,0,0.0,Dakahlia,Lupine,0,11,,
0,0,0.0,Damietta,Lupine,0,12,,
0,0,0.0,Fayoum,Lupine,0,13,,
0,0,0.0,Gharbia,Lupine,0,14,,
0,0,0.0,Giza,Lupine,0,15,,
0,0,0.0,Kafr el sheikh,Lupine,0,16,,
0,0,0.0,Luxor,Lupine,0,17,,
0,0,0.0,Minya,Lupine,0,18,,
0,0,0.0,Monoufia,Lupine,0,19,,
0,0,0.0,Port said,Lupine,0,20,,
0,0,0.0,Quliubiya,Lupine,0,21,,
0,0,0.0,Suez,Lupine,0,22,,
33721000.0,134216.0,2494384.0,Kafr el sheikh,sugar Beet,1,1,,
3360000.0,8578.0,178651.0,Ismailia,sugar Beet,1,2,,
1218000.0,2057.0,46458.0,Giza,sugar Beet,1,3,,
121814000.0,77592.0,1571414.0,Sharkia,sugar Beet,1,4,,
45743000.0,25082.0,581410.0,Minya,sugar Beet,1,5,,
14351000.0,7746.0,153262.0,Alexandria,sugar Beet,1,6,,
164638000.0,87595.0,1949424.0,Dakahlia,sugar Beet,1,7,,
88363000.00000001,39900.0,834773.0,Behaira,sugar Beet,1,8,,
12318000.0,5388.0,111090.0,Damietta,sugar Beet,1,9,,
817000.0,295.0,5596.0,Quliubiya,sugar Beet,1,10,,
4789000.0,1729.0,36630.0,Monoufia,sugar Beet,1,11,,
78272000.0,28257.0,580738.0,Port said,sugar Beet,1,12,,
40276000.0,14540.0,351490.0,Gharbia,sugar Beet,1,13,,
37718000.0,13176.0,314287.0,Beni sweif,sugar Beet,1,14,,
68261000.0,18494.0,358709.0,Fayoum,sugar Beet,1,15,,
25024000.0,6353.0,205773.0,Assuit,sugar Beet,1,16,,
0,0,0.0,Aswan,sugar Beet,0,17,,
0,0,0.0,Cairo,sugar Beet,0,18,,
0,0,0.0,Luxor,sugar Beet,0,19,,
0,0,0.0,Qena,sugar Beet,0,20,,
0,0,0.0,Sohag,sugar Beet,0,21,,
0,0,0.0,Suez,sugar Beet,0,22,,
29927000.0,43321.0,892904.0,Gharbia,Fully grown Onions,1,1,,
317000.0,444.0,4544.0,Ismailia,Fully grown Onions,1,2,,
2384000.0,3326.0,59445.0,Qena,Fully grown Onions,1,3,,
219999.99999999997,197.0,1347.0,Alexandria,Fully grown Onions,1,4,,
498000.0,418.0,5800.0,Suez,Fully grown Onions,1,5,,
17639000.0,14161.0,249941.0,Sohag,Fully grown Onions,1,6,,
1685000.0,1275.0,19406.0,Aswan,Fully grown Onions,1,7,,
19394952.276226085,13791.0,128998.06795689465,Beni sweif,Fully grown Onions,1,8,,
16825000.0,11385.0,171957.0,Behaira,Fully grown Onions,1,9,,
2589000.0,1595.0,22560.0,Damietta,Fully grown Onions,1,10,,
28939000.0,17618.0,222253.0,Sharkia,Fully grown Onions,1,11,,
7000.0,4.0,18.0,Cairo,Fully grown Onions,1,12,,
2688000.0,1457.0,23838.0,Kafr el sheikh,Fully grown Onions,1,13,,
41166000.0,22172.0,285395.0,Dakahlia,Fully grown Onions,1,14,,
1205000.0,612.0,8264.0,Luxor,Fully grown Onions,1,15,,
5602000.0,2832.0,35526.0,Minya,Fully grown Onions,1,16,,
11003093.406593407,5494.0,77551.80975274724,Assuit,Fully grown Onions,1,17,,
27772000.0,13264.0,185563.0,Quliubiya,Fully grown Onions,1,18,,
1791000.0,831.0,11323.0,Monoufia,Fully grown Onions,1,19,,
32035572.132084772,12306.91,166512.67426515525,Fayoum,Fully grown Onions,1,20,,
0,0,0,Giza,Fully grown Onions,1,21,,
0,0,0.0,Port said,Fully grown Onions,0,22,,
1549000.0,8639.0,5915.0,Aswan,Garlic,1,1,,
7000.0,35.0,160.0,Suez,Garlic,1,2,,
692000.0,1082.0,6156.0,Behaira,Garlic,1,3,,
14999.999999999998,14.0,108.0,Alexandria,Garlic,1,4,,
1179000.0,959.0,6267.0,Sharkia,Garlic,1,5,,
260000.0,142.0,1055.0,Monoufia,Garlic,1,6,,
555000.0,301.0,2709.0,Gharbia,Garlic,1,7,,
201000.0,109.0,1227.0,Ismailia,Garlic,1,8,,
3498000.0,1896.0,11622.0,Dakahlia,Garlic,1,9,,
478000.0,259.0,1497.0,Damietta,Garlic,1,10,,
349000.0,189.0,1752.0,Quliubiya,Garlic,1,11,,
26000.0,14.0,56.0,Kafr el sheikh,Garlic,1,12,,
1520000.0,736.0,7909.0,Sohag,Garlic,1,13,,
14888999.999999998,5885.0,52815.0,Minya,Garlic,1,14,,
39722000.0,15654.0,146052.0,Beni sweif,Garlic,1,15,,
6466000.0,2484.0,16245.0,Fayoum,Garlic,1,16,,
3785000.0,1454.0,13242.0,Giza,Garlic,1,17,,
3058000.0,1138.0,8614.0,Assuit,Garlic,1,18,,
720000.0,265.0,2396.0,Luxor,Garlic,1,19,,
502000.00000000006,178.0,1003.0,Qena,Garlic,1,20,,
0,0,0.0,Cairo,Garlic,0,21,,
0,0,0.0,Port said,Garlic,0,22,,
2712000.0,2105.0,12199.0,Sharkia,Lfax,1,1,,
1340000.0,943.0,5086.0,Behaira,Lfax,1,2,,
6384000.0,4289.0,20979.0,Dakahlia,Lfax,1,3,,
1893000.0,1269.0,6223.0,Damietta,Lfax,1,4,,
2976000.0,1995.0,9807.0,Kafr el sheikh,Lfax,1,5,,
4012000.0000000005,2689.0,11294.0,Gharbia,Lfax,1,6,,
48000.0,32.0,140.0,Alexandria,Lfax,1,7,,
81000.0,54.0,249.0,Monoufia,Lfax,1,8,,
93000.0,62.0,289.0,Quliubiya,Lfax,1,9,,
0,0,0.0,Assuit,Lfax,0,10,,
0,0,0.0,Aswan,Lfax,0,11,,
0,0,0.0,Beni sweif,Lfax,0,12,,
0,0,0.0,Cairo,Lfax,0,13,,
0,0,0.0,Fayoum,Lfax,0,14,,
0,0,0.0,Giza,Lfax,0,15,,
0,0,0.0,Ismailia,Lfax,0,16,,
0,0,0.0,Luxor,Lfax,0,17,,
0,0,0.0,Minya,Lfax,0,18,,
0,0,0.0,Port said,Lfax,0,19,,
0,0,0.0,Qena,Lfax,0,20,,
0,0,0.0,Sohag,Lfax,0,21,,
0,0,0.0,Suez,Lfax,0,22,,
84000.0,161.0,1610.0,Cairo,Others,1,1,,
10900000.0,1219.648651672821,62202.08123531387,Giza,Others,1,2,,
0,0,0.0,Alexandria,Others,0,3,,
0,0,0.0,Assuit,Others,0,4,,
0,0,0.0,Aswan,Others,0,5,,
0,0,0.0,Behaira,Others,0,6,,
0,0,0.0,Beni sweif,Others,0,7,,
0,0,0.0,Dakahlia,Others,0,8,,
0,0,0.0,Damietta,Others,0,9,,
0,0,0.0,Fayoum,Others,0,10,,
0,0,0.0,Gharbia,Others,0,11,,
0,0,0.0,Ismailia,Others,0,12,,
0,0,0.0,Kafr el sheikh,Others,0,13,,
0,0,0.0,Luxor,Others,0,14,,
0,0,0.0,Minya,Others,0,15,,
0,0,0.0,Monoufia,Others,0,16,,
0,0,0.0,Port said,Others,0,17,,
0,0,0.0,Qena,Others,0,18,,
0,0,0.0,Quliubiya,Others,0,19,,
0,0,0.0,Sharkia,Others,0,20,,
0,0,0.0,Sohag,Others,0,21,,
0,0,0.0,Suez,Others,0,22,,
0,0,0,Cairo,X,0,1,,
,,,,,0.0,2.0,,
,,,,,0.0,3.0,,
,,,,,0.0,4.0,,
,,,,,0.0,5.0,,
,,,,,0.0,6.0,,
,,,,,0.0,7.0,,
,,,,,0.0,8.0,,
,,,,,0.0,9.0,,
,,,,,0.0,10.0,,
,,,,,0.0,11.0,,
,,,,,0.0,12.0,,
,,,,,0.0,13.0,,
,,,,,0.0,14.0,,
,,,,,0.0,15.0,,
,,,,,0.0,16.0,,
,,,,,0.0,17.0,,
,,,,,0.0,18.0,,
,,,,,0.0,19.0,,
,,,,,0.0,20.0,,
,,,,,0.0,21.0,,
,,,,,0.0,22.0,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
,,,,,0.0,,,
